,Conference,Location,Points,FG made,FG attempts,3P made,3P attempts,FT made,FT attempts,Off Reb,Team Reb,Assists,Steals,Blocks,turnovers,Pers Fouls,Opponent Conf,Points opp,FG made opp,FG attempts opp,3P made opp,3P attempts opp,FT made opp,FT attempts opp,Off Reb opp,Team Reb opp,Assists opp,Steals opp,Blocks opp,turnovers opp,Pers Fouls opp
6171,PacTwelve,,80,29,51,10,19,12,15,10,27,10,11,7,15,18,PacTwelve,67,24,51,7,16,12,14,6,18,18,4,3,14,17
6172,PacTwelve,@,69,26,67,3,21,14,19,11,33,11,6,8,8,20,PacTwelve,81,24,55,8,17,25,28,7,37,12,5,2,9,17
6173,PacTwelve,@,56,20,51,2,12,14,22,12,31,13,5,2,7,11,PacTwelve,64,25,50,9,22,5,7,4,24,13,5,8,8,15
6174,PacTwelve,@,76,31,62,2,13,12,15,7,29,15,3,4,9,21,PacTwelve,89,28,55,8,20,25,27,5,28,16,5,2,8,16
6175,PacTwelve,,55,20,54,6,22,9,13,7,22,11,6,0,13,13,PacTwelve,75,31,48,6,15,7,11,2,26,20,9,4,11,17
6176,PacTwelve,@,68,23,52,4,20,18,22,5,29,8,6,7,12,18,PacTwelve,63,25,59,6,18,7,12,9,31,10,6,4,13,19
6177,PacTwelve,,70,24,51,8,21,14,15,5,32,19,7,3,10,18,PacTwelve,51,19,51,5,19,8,16,9,31,13,6,2,13,16
6178,PacTwelve,,68,21,48,8,20,18,22,4,29,16,4,6,13,17,PacTwelve,65,25,56,3,15,12,14,6,28,12,6,1,10,19
6179,PacTwelve,N,71,26,49,8,22,11,15,3,17,18,9,3,10,13,PacTwelve,69,25,51,11,21,8,13,12,29,13,4,0,16,16
6180,PacTwelve,@,65,23,45,1,7,18,24,6,40,11,3,8,19,17,PacTwelve,56,22,79,6,28,6,10,16,35,8,4,0,6,19
6181,PacTwelve,@,40,13,65,2,15,12,25,21,39,5,9,1,21,17,PacTwelve,72,27,58,6,21,12,19,11,41,13,14,12,18,19
6182,PacTwelve,,82,25,62,5,19,27,36,17,35,14,5,8,14,16,PacTwelve,78,30,61,10,20,8,14,8,29,18,6,5,15,26
6183,PacTwelve,,56,19,51,4,17,14,16,8,32,9,5,9,11,16,PacTwelve,52,18,55,6,21,10,15,9,33,10,9,1,12,16
6184,PacTwelve,,62,24,67,6,24,8,13,11,39,18,6,1,6,10,PacTwelve,56,21,60,8,30,6,7,8,38,14,4,7,11,13
6185,PacTwelve,,70,28,62,9,18,5,11,9,41,15,7,4,13,17,PacTwelve,51,18,63,4,28,11,18,10,37,6,6,3,11,16
6186,PacTwelve,@,65,26,60,7,23,6,16,9,35,7,6,3,15,22,PacTwelve,79,27,56,10,21,15,24,8,37,19,10,3,11,15
6187,PacTwelve,,61,22,57,11,30,6,12,7,29,17,10,3,15,23,PacTwelve,55,20,52,3,17,12,25,16,41,5,8,5,20,18
6188,PacTwelve,,88,36,59,9,23,7,13,2,30,23,8,6,9,18,PacTwelve,62,22,56,12,27,6,12,11,32,13,6,1,17,17
6189,PacTwelve,@,56,23,65,6,23,4,4,11,37,7,8,5,20,18,PacTwelve,64,21,57,6,19,16,23,11,38,16,13,9,18,10
6190,PacTwelve,@,72,26,55,7,18,13,19,4,32,11,4,4,10,16,PacTwelve,64,22,62,4,24,16,21,7,36,10,5,8,11,17
6191,PacTwelve,@,75,24,43,11,23,16,21,2,28,13,5,3,13,16,PacTwelve,57,19,60,7,30,12,16,11,30,10,8,3,9,17
6192,PacTwelve,,70,26,57,11,25,7,9,6,24,15,10,0,9,14,PacTwelve,62,25,51,4,20,8,10,3,28,11,1,9,17,15
6193,PacTwelve,,67,20,59,3,24,24,32,14,34,15,8,1,9,19,PacTwelve,66,23,45,9,20,11,14,5,28,16,7,4,17,26
6194,PacTwelve,,76,29,46,4,10,14,19,3,29,19,7,4,12,14,PacTwelve,64,26,56,10,26,2,5,3,18,11,6,1,13,19
6195,PacTwelve,@,67,25,59,7,25,10,17,6,28,9,5,4,17,23,PacTwelve,79,23,60,9,24,24,28,12,39,15,8,3,13,19
6196,PacTwelve,,74,24,54,3,16,23,38,11,30,9,15,5,15,23,PacTwelve,78,24,48,7,19,23,27,6,31,13,6,3,20,24
6197,SEC,@,66,24,57,11,33,7,9,8,28,16,9,3,16,14,SEC,68,25,56,9,28,9,11,8,28,11,7,2,19,13
